1684743228161857	0	3448918
1684743228633821	0	3020059
1684743231610868	200	5339329
1684743231653923	200	6662147
1684743226889379	0	12414077
1684743236950250	200	2985492
1684743231445796	200	8523670
1684743230582910	0	9430380
1684743228100865	0	12098982
1684743239935800	200	2354958
1684743215710988	0	26633677
1684743239969532	200	4078730
1684743238316117	200	5736122
1684743242290828	200	1774751
1684743239303507	200	4983933
1684743244065625	200	4237045
1684743244048316	200	5623946
1684743244287506	200	5614784
1684743242344740	200	7601387
1684743240199920	200	9953179
1684743248302729	200	2368110
1684743240013342	200	10677035
1684743244052271	200	8871684
1684743250670888	200	7393973
1684743249902386	200	8245738
1684743250153145	200	8035326
1684743249946203	200	8644986
1684743228378213	0	30326285
1684743249672320	200	9353275
